match_id,date,home_team,away_team,league,country,score_home,score_away,status,odds_home,odds_draw,odds_away
8AdSZKlo,2026-03-13,Celta Vigo,Lyon,Unknown,Unknown,0.0,0.0,NS,,,
bwZFIhGF,2026-03-13,Corinthians,Coritiba,Unknown,Unknown,0.0,0.0,NS,,,
M1Uy4lEd,2026-03-13,Izalco,Hercules,Unknown,Unknown,0.0,0.0,NS,,,
6NhIFyo3,2026-03-13,Cruz Azul W,Necaxa W,Unknown,Unknown,0.0,0.0,NS,,,
CbdUwNOk,2026-03-13,Shan Utd,Mahar United,Unknown,Unknown,0.0,0.0,NS,,,
fyrIAKVs,2026-03-13,Abi Al Ashar,Altirsana,Unknown,Unknown,0.0,0.0,NS,,,
OGFi7oPk,2026-03-13,Al Murooj,Wefaq Ajdabiya,Unknown,Unknown,0.0,0.0,NS,,,
KzZhSapf,2026-03-13,Roma W,Inter W,Unknown,Unknown,0.0,0.0,NS,,,
4zQXIRhn,2026-03-13,Dila Gori,Meshakhte Tkibuli,Unknown,Unknown,0.0,0.0,NS,,,
M771ivJ6,2026-03-13,Chanmari,Dempo,Unknown,Unknown,0.0,0.0,NS,,,
EuUj6AaN,2026-03-13,Bumamuru,Dynamik,Unknown,Unknown,0.0,0.0,NS,,,
b329OiFi,2026-03-13,Le Messager Ngozi,Musongati,Unknown,Unknown,0.0,0.0,NS,,,
rNsCCSkC,2026-03-13,Botafogo U20 W,Vitoria U20 W,Unknown,Unknown,0.0,0.0,NS,,,
4vvUP9Nr,2026-03-13,Remo,Fluminense,Unknown,Unknown,0.0,0.0,NS,,,
0x5TgttH,2026-03-13,Bologna,Roma,Unknown,Unknown,0.0,0.0,NS,,,
4WKTU95t,2026-03-13,Flamengo Rj U20 W,Alagoana U20 W,Unknown,Unknown,0.0,0.0,NS,,,
AaO8ImTk,2026-03-13,Talleres Jr,Inter Fa,Unknown,Unknown,0.0,0.0,NS,,,
pYEQCPqd,2026-03-13,Madureira,Aguia De Maraba,Unknown,Unknown,0.0,0.0,NS,,,
S0Ip3Joo,2026-03-13,Alkarma,Al Gharraf,Unknown,Unknown,0.0,0.0,NS,,,
StHBmHuT,2026-03-13,Alahli Manama,Malkia,Unknown,Unknown,0.0,0.0,NS,,,
APvcx9sJ,2026-03-13,Belgium U17 W,Azerbaijan U17 W,Unknown,Unknown,0.0,0.0,NS,,,
8n3xeayP,2026-03-13,Switzerland U17 W,Greece U17 W,Unknown,Unknown,0.0,0.0,NS,,,
4MT6NMOs,2026-03-13,Bahia U17,Fortaleza U17,Unknown,Unknown,0.0,0.0,NS,,,
KUCNgfOq,2026-03-13,Atl San Luis W,Puebla W,Unknown,Unknown,0.0,0.0,NS,,,
KMRqRR45,2026-03-13,Internacional U20 W,Vasco U20 W,Unknown,Unknown,0.0,0.0,NS,,,
AoHTZr0b,2026-03-13,Tampines,Bangkok Utd,Unknown,Unknown,0.0,0.0,NS,,,
YJjfH7rA,2026-03-13,Club Nacional U20 Uru,Ldu Quito U20 Ecu,Unknown,Unknown,0.0,0.0,NS,,,
drBMakdf,2026-03-13,Deportes Tolima Col,Ohiggins Chi,Unknown,Unknown,0.0,0.0,NS,,,
xt34VKFk,2026-03-13,Celje,Aek Athens,Unknown,Unknown,0.0,0.0,NS,,,
Q1waNq4U,2026-03-13,Corinthians U20 W,Taubate U20 W,Unknown,Unknown,0.0,0.0,NS,,,
WtQCVr8D,2026-03-13,Czech Republic U17 W,Latvia U17 W,Unknown,Unknown,0.0,0.0,NS,,,
886B0L3B,2026-03-13,Sitra,Albudaiya,Unknown,Unknown,0.0,0.0,NS,,,
jRqm3xtC,2026-03-13,Manaus,Londrina,Unknown,Unknown,0.0,0.0,NS,,,
KIjIMVq4,2026-03-13,Olympic S,Aigle Noir,Unknown,Unknown,1.0,1.0,FINISHED,,,
roKfxlxQ,2026-03-13,Sousa,Crb,Unknown,Unknown,0.0,0.0,NS,,,
hzQiP5ZH,2026-03-13,Gremio U20 W,Criciuma U20 W,Unknown,Unknown,0.0,0.0,NS,,,
h86mL3xq,2026-03-13,Francs Borains,Sporting Lokeren,Unknown,Unknown,0.0,0.0,NS,,,
hAA13QIc,2026-03-13,Vila Nova,Operario Ms,Unknown,Unknown,0.0,0.0,NS,,,
WpDzXaMj,2026-03-13,Maranhao,Ceara,Unknown,Unknown,0.0,0.0,NS,,,
zJjjgwdo,2026-03-13,Al Khalidiyah,Al Riffa,Unknown,Unknown,0.0,0.0,NS,,,
QDjJSR2S,2026-03-13,Defensa Y Justicia,Central Cordoba,Unknown,Unknown,0.0,0.0,NS,,,
U9yvIV57,2026-03-13,Atl Tucuman,Aldosivi,Unknown,Unknown,0.0,0.0,NS,,,
CdOyTmzg,2026-03-13,Fluminense U20 W,Litoral Norte U20 W,Unknown,Unknown,0.0,0.0,NS,,,
OlLpTSo9,2026-03-13,Olympic Azzaweya,Alittihad,Unknown,Unknown,0.0,0.0,NS,,,
dpbgxP0J,2026-03-13,Noah,Araratarmenia,Unknown,Unknown,0.0,0.0,NS,,,
E3N4LJet,2026-03-13,Santa Catarina,Jacuipense,Unknown,Unknown,0.0,0.0,NS,,,
0f87O9cT,2026-03-13,Motagua,Upnfm,Unknown,Unknown,0.0,0.0,NS,,,
YLR6piTg,2026-03-13,Paysandu Pa,Portuguesa Rj,Unknown,Unknown,0.0,0.0,NS,,,
C0OzHMNF,2026-03-13,Confianca,Tombense,Unknown,Unknown,2.0,0.0,FINISHED,,,
Y7XvJMM6,2026-03-13,Dewa United Ina,Manila Digger Phl,Unknown,Unknown,0.0,0.0,NS,,,
dl4tqPRb,2026-03-13,Panathinaikos,Betis,Unknown,Unknown,0.0,0.0,NS,,,
dIRE8uON,2026-03-13,Al Kahraba,Al Talaba,Unknown,Unknown,0.0,0.0,NS,,,
QcLaPSdE,2026-03-13,Operariopr,Capital,Unknown,Unknown,0.0,0.0,NS,,,
na60OwH8,2026-03-13,Racing De Gualuca,Aguila,Unknown,Unknown,0.0,0.0,NS,,,
KMTiopgt,2026-03-13,Al Ahli,Al Salt,Unknown,Unknown,0.0,0.0,NS,,,
4ADJMjXH,2026-03-13,Az Alkmaar,Sparta Prague,Unknown,Unknown,0.0,0.0,NS,,,
CpRngLBi,2026-03-13,Albudaiya,Alhidd,Unknown,Unknown,0.0,0.0,NS,,,
x6Lu8oM6,2026-03-13,Shooting,Rivers United,Unknown,Unknown,0.0,0.0,NS,,,
Uo4dOIaB,2026-03-13,Vendaval,Batanecos,Unknown,Unknown,0.0,0.0,NS,,,
bFvWiZOF,2026-03-13,Finland U17 W,Romania U17 W,Unknown,Unknown,0.0,0.0,NS,,,
d4KOw5lB,2026-03-13,Sao Paulo U20 W,Alianca Go U20 W,Unknown,Unknown,0.0,0.0,NS,,,
lvHGuRJb,2026-03-13,Ferroviaria U20 W,Sport Recife U20 W,Unknown,Unknown,0.0,0.0,NS,,,
hhgedGk2,2026-03-13,Porto Velho,Atletico Go,Unknown,Unknown,0.0,1.0,FINISHED,,,
lbw8Jx9e,2026-03-13,Castanhal,Nova Iguacu,Unknown,Unknown,0.0,0.0,NS,,,
fTI3kwBG,2026-03-13,Alshabbab,Alnajma,Unknown,Unknown,0.0,0.0,NS,,,
b1Pfiat4,2026-03-13,Almuharraq,Sitra,Unknown,Unknown,0.0,0.0,NS,,,
WptHZ6P0,2026-03-13,Persis Solo,Bali United,Unknown,Unknown,0.0,0.0,NS,,,
YFLcL4Ca,2026-03-13,Estudiantes Rio Cuarto,Belgrano,Unknown,Unknown,0.0,0.0,NS,,,
SnXaqONh,2026-03-13,Alfaisaly Amman,Shabab Al Ordon,Unknown,Unknown,0.0,0.0,NS,,,
YsrVJiye,2026-03-13,Ind Rivadavia,Barracas Central,Unknown,Unknown,0.0,0.0,NS,,,
Iep18ueA,2026-03-13,Stuttgart,Porto,Unknown,Unknown,0.0,0.0,NS,,,
dEhLdBgd,2026-03-13,Vasco,Palmeiras,Unknown,Unknown,0.0,0.0,NS,,,
za4CbXOq,2026-03-13,Flamengo Rj,Cruzeiro,Unknown,Unknown,0.0,0.0,NS,,,
pfccVVaL,2026-03-13,Bahia,Vitoria,Unknown,Unknown,1.0,1.0,FINISHED,,,
4z0KbaYN,2026-03-13,Aali Club,Bahrain,Unknown,Unknown,0.0,0.0,NS,,,
zm0rTeE8,2026-03-13,Talleres Cordoba,Instituto,Unknown,Unknown,0.0,0.0,NS,,,
bTxPkk14,2026-03-13,Fiorentina,Rakow,Unknown,Unknown,0.0,0.0,NS,,,
r7WxnMlI,2026-03-13,Al Riffa,Almuharraq,Unknown,Unknown,0.0,0.0,NS,,,
vchBUmYF,2026-03-13,Dep Riestra,Gimnasia Mendoza,Unknown,Unknown,0.0,0.0,NS,,,
4SuOM4Ns,2026-03-13,Svay Rieng Cam,Phnom Penh Crown Cam,Unknown,Unknown,0.0,0.0,NS,,,
2adyuYnn,2026-03-13,Rijeka,Strasbourg,Unknown,Unknown,0.0,0.0,NS,,,
G0BM28TG,2026-03-13,Sporting Cristal U20 Per,U Catolica U20 Ecu,Unknown,Unknown,0.0,0.0,NS,,,
vkc4QYXh,2026-03-13,Sigma Olomouc,Mainz,Unknown,Unknown,0.0,0.0,NS,,,
MThiyjnB,2026-03-13,Crystal Palace,Aek Larnaca,Unknown,Unknown,0.0,0.0,NS,,,
GCJn8iIO,2026-03-13,Samsunspor,Rayo Vallecano,Unknown,Unknown,0.0,0.0,NS,,,
QPsVT7vo,2026-03-13,Lech Poznan,Shakhtar Donetsk,Unknown,Unknown,0.0,0.0,NS,,,
MBBW6my3,2026-03-13,Genk,Freiburg,Unknown,Unknown,0.0,0.0,NS,,,
4Yg7nbYj,2026-03-13,nottingham forest,Midtjylland,Unknown,Unknown,0.0,0.0,NS,,,
WxawJmLj,2026-03-13,Real Espana,Victoria,Unknown,Unknown,0.0,0.0,NS,,,
MiZv1cmp,2026-03-13,Ferencvaros,Braga,Unknown,Unknown,0.0,0.0,NS,,,
8YSjJVyq,2026-03-13,Baghdad,Newroz,Unknown,Unknown,0.0,0.0,NS,,,
